2018-08-29 09:59:04: -- Analysis Started by On File Change, After Delay
2018-08-29 09:59:10: Changes: 3,119, Conflicts: 0, CopyTime: 0, FixState: 0, Errors: 0, All: 7381
2018-08-29 09:59:10: Left to Right: Copy File: 3119 
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/85dfc64492d271e4b1be3dcbe63acfd89f9115' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/85dfc64492d271e4b1be3dcbe63acfd89f9115' (370)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/88ceecf7d3fb53f25574af2103eb59127279c4' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/88ceecf7d3fb53f25574af2103eb59127279c4' (336)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/8bd0855631438e0da07af33d7e42615343873f' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/8bd0855631438e0da07af33d7e42615343873f' (2,039)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/f1664578972db2d6b0edca2d6a0e141719152d' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/f1664578972db2d6b0edca2d6a0e141719152d' (370)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/f1cd88ab0fcd5f67d6d75ab7abaf4f2f9bb107' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/f1cd88ab0fcd5f67d6d75ab7abaf4f2f9bb107' (3,328)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/099d559f829a3c138c8785bdf7c3af44a0c057' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/099d559f829a3c138c8785bdf7c3af44a0c057' (494)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/2589c35a77ad05ccab940e61dd19e35dfc3107' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/2589c35a77ad05ccab940e61dd19e35dfc3107' (1,752)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/01/2c6fbde76bfb5e5242070e43f1fe5bcab59c76' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/2c6fbde76bfb5e5242070e43f1fe5bcab59c76' (892)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/35acae028338a1611a408e57fae06ddcfa5ca3' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/35acae028338a1611a408e57fae06ddcfa5ca3' (60)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/44863ba862beb355b47d4eb27850352f180d10' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/44863ba862beb355b47d4eb27850352f180d10' (343)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/4e41072d0b9d117ea5db50b3dcd10976b4ebd2' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/4e41072d0b9d117ea5db50b3dcd10976b4ebd2' (340)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/7b21ce0ff3005a8c0531927d11fad6f08d7d76' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/7b21ce0ff3005a8c0531927d11fad6f08d7d76' (336)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/a8cdad83abfaf894d58dbff4571423877bed79' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/a8cdad83abfaf894d58dbff4571423877bed79' (335)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/b743162a1b53107abd2c830d10b06ee5c25016' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/b743162a1b53107abd2c830d10b06ee5c25016' (336)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/c45545bc2bc2aaaf7f45b8b3bcf6fa29a668a0' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/c45545bc2bc2aaaf7f45b8b3bcf6fa29a668a0' (489)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/ccd7a74af87bde5326fb961de351cc9687356b' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/ccd7a74af87bde5326fb961de351cc9687356b' (336)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/f4e3cc53cd28b13f29146437818dc0e0923968' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/f4e3cc53cd28b13f29146437818dc0e0923968' (335)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/01/f5b485e6179e9b62645d4ca4e7d8a447e7ec6f' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/01/f5b485e6179e9b62645d4ca4e7d8a447e7ec6f' (2,094)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/02/0369e2bfd60f6e9668dd2e0cb925f0e536ac31' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/0369e2bfd60f6e9668dd2e0cb925f0e536ac31' (644)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/02/185d444b9c56c89808410f5e80684d5f0cc597' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/185d444b9c56c89808410f5e80684d5f0cc597' (341)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/02/1ffa329af9dd4b0c72a0a62ed7efce86f27977' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/1ffa329af9dd4b0c72a0a62ed7efce86f27977' (498)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/02/330487fb04d1f8ce7c4bda682e7df414942f40' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/330487fb04d1f8ce7c4bda682e7df414942f40' (335)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/02/4e0fc9a7ad70d603a75c37ac4082653ef1a507' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/4e0fc9a7ad70d603a75c37ac4082653ef1a507' (335)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/02/7d763aefc8029ff98685ea51c79bddccc38ab3' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/7d763aefc8029ff98685ea51c79bddccc38ab3' (366)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/02/bf5a097b01b94eeee14f75be6cef406a4094bf' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/bf5a097b01b94eeee14f75be6cef406a4094bf' (1,197)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/02/cb7533c8476652bbb768a556769e4e5b941798' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/cb7533c8476652bbb768a556769e4e5b941798' (2,789)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/02/d035d7bbd4f7f56292e77843e7a38f8d576cc0' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/02/d035d7bbd4f7f56292e77843e7a38f8d576cc0' (336)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/09222179b3c235ef1caa519b46c0bf68b60571' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/09222179b3c235ef1caa519b46c0bf68b60571' (339)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/1de35604eef92d5cf49ce445cec9805bfaea8e' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/1de35604eef92d5cf49ce445cec9805bfaea8e' (339)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/372e5795abd2bdcf3c02197b27d1408e2230e9' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/372e5795abd2bdcf3c02197b27d1408e2230e9' (337)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/3d7a5e9e2266753180f4e3a9299f575046701e' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/3d7a5e9e2266753180f4e3a9299f575046701e' (146)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/508ad893112c4bbab8799212c8d132d9b55ea5' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/508ad893112c4bbab8799212c8d132d9b55ea5' (461)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/03/5fb17e074926e8e58f0a0da56f05bf99ce4d53' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/5fb17e074926e8e58f0a0da56f05bf99ce4d53' (842)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/7ee7be0f969f834afe59b3f269430b643c10cb' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/7ee7be0f969f834afe59b3f269430b643c10cb' (5,377)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/85b8c86343f69d1ae2d61b0ab2136de86d6a4e' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/85b8c86343f69d1ae2d61b0ab2136de86d6a4e' (1,497)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/86c7f8439344b8a952903b52da48a137484c4d' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/86c7f8439344b8a952903b52da48a137484c4d' (339)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/8b20e98f034ca4fe9138bf29c20efd63f419f7' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/8b20e98f034ca4fe9138bf29c20efd63f419f7' (340)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/d8258653d76fa357c4fed4d6790478ce7d09cd' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/d8258653d76fa357c4fed4d6790478ce7d09cd' (2,526)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/f84d65d13f64543d5d457904fd6b43018f69b4' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/f84d65d13f64543d5d457904fd6b43018f69b4' (341)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/03/fa8bb5740b67b2e90a7bdeb88ab68a61190fa4' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/03/fa8bb5740b67b2e90a7bdeb88ab68a61190fa4' (335)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/033b1ab95baea331a844b92d917a93e238d2c2' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/033b1ab95baea331a844b92d917a93e238d2c2' (354)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/08f297cb224249e8104b7871f1c069a82faf78' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/08f297cb224249e8104b7871f1c069a82faf78' (340)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/1e1b6de74245753e2dad0f0d92bb2e45fe19c5' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/1e1b6de74245753e2dad0f0d92bb2e45fe19c5' (340)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/2becd234aaba28656a582a679f63adef1730d8' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/2becd234aaba28656a582a679f63adef1730d8' (341)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/645f1ee3974e6b8f9a467646d950b42182dd05' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/645f1ee3974e6b8f9a467646d950b42182dd05' (334)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/8c887f7b3da5b9fc449050f0d5d694600bc111' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/8c887f7b3da5b9fc449050f0d5d694600bc111' (340)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/04/919d02a2f22e1f37ecc28db7bdb082e7093f28' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/919d02a2f22e1f37ecc28db7bdb082e7093f28' (80)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/a6800766bb3804f81d73e57dd287dd0c7f6b6d' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/a6800766bb3804f81d73e57dd287dd0c7f6b6d' (378)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/04/bb2421bf122d6c26477e49a9609acb11effde2' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/bb2421bf122d6c26477e49a9609acb11effde2' (78)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/ca15cf26befe21b6ba7f44f4fb945f81bae93f' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/ca15cf26befe21b6ba7f44f4fb945f81bae93f' (341)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/04/d06a444e8230106734c8bf5a633bd7f68bb5fe' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/d06a444e8230106734c8bf5a633bd7f68bb5fe' (715)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/04/eb3a2f6edc9661bf251a351224b59054e6923f' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/04/eb3a2f6edc9661bf251a351224b59054e6923f' (47)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/185505ef64ce0505f0ee8c1ac75db4ad8ce675' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/185505ef64ce0505f0ee8c1ac75db4ad8ce675' (370)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/1ec89d21b926d133c8470c23108509ad04f3b7' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/1ec89d21b926d133c8470c23108509ad04f3b7' (341)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/24264faa24829d62b7f565df9da6498c4ca6ad' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/24264faa24829d62b7f565df9da6498c4ca6ad' (1,108)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/2acbc0fea7dac9cb6a036d3b481b35963f1b5d' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/2acbc0fea7dac9cb6a036d3b481b35963f1b5d' (336)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/05/3522a05e4e666fe73fce8318fca163044a7970' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/3522a05e4e666fe73fce8318fca163044a7970' (144)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/3b036846f59498929e25cf19fa879c6a34db51' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/3b036846f59498929e25cf19fa879c6a34db51' (340)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/51c9d8d8aa03da6472fbfcfc0b2929c4303334' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/51c9d8d8aa03da6472fbfcfc0b2929c4303334' (307)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/05/86f951ce0bdcaf4ccf228cbaab09c6cf65b6b7' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/86f951ce0bdcaf4ccf228cbaab09c6cf65b6b7' (1,515)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/a0c4be9647df19e3f594feaea48310f6ada223' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/a0c4be9647df19e3f594feaea48310f6ada223' (341)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/aca8490250e4ff2a5086cb9f20cb9b028b4a1e' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/aca8490250e4ff2a5086cb9f20cb9b028b4a1e' (343)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/e6f89ce48f850fce266e47276baa0040ff0019' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/e6f89ce48f850fce266e47276baa0040ff0019' (336)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/05/e8b1b625b40abf389ce87fb77a3f00a8fe2085' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/e8b1b625b40abf389ce87fb77a3f00a8fe2085' (336)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/05/f275764673bd797572c67aed9e5039e4a3904a' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/05/f275764673bd797572c67aed9e5039e4a3904a' (305)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/002fdbefee77e6d2cf89a24f91f9de77e242e8' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/002fdbefee77e6d2cf89a24f91f9de77e242e8' (341)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/380aab03a79fee2579825cd453fb61f58aecd1' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/380aab03a79fee2579825cd453fb61f58aecd1' (336)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/65bb643aca77c5c30aceb46c1fac11ac0b2e7d' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/65bb643aca77c5c30aceb46c1fac11ac0b2e7d' (340)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/75a3a344b61b116947ee8a0070cfc0fb6ca403' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/75a3a344b61b116947ee8a0070cfc0fb6ca403' (527)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/9d29e5febdef6598e4fd9bc877675cd9e4dc8b' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/9d29e5febdef6598e4fd9bc877675cd9e4dc8b' (336)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/a247b0d9762166f25afa05621d87a77ef549a8' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/a247b0d9762166f25afa05621d87a77ef549a8' (337)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/a9827f9392129879eaea05d4b8bba210d337f9' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/a9827f9392129879eaea05d4b8bba210d337f9' (313)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/bdbe20067e5cff5657b8daad039f9c12b49720' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/bdbe20067e5cff5657b8daad039f9c12b49720' (2,251)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/06/bffa78485819b44e25138eccd4fbcb1a30cf4a' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/bffa78485819b44e25138eccd4fbcb1a30cf4a' (524)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/06/c5177424a5b9fb89bc1b0f26e74926a0ee5e07' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/c5177424a5b9fb89bc1b0f26e74926a0ee5e07' (1,204)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/e16dbe41e290a2140c924c04a0e8f061557ece' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/e16dbe41e290a2140c924c04a0e8f061557ece' (341)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/e9ad72a4a92b3f9ff0511316c3890bfac20b1b' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/e9ad72a4a92b3f9ff0511316c3890bfac20b1b' (336)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/ec026d18ad3e45be183f46660bd3d9af3751b6' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/ec026d18ad3e45be183f46660bd3d9af3751b6' (335)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/06/fe532c2210691ea5850242435fe9a89ea5033a' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/06/fe532c2210691ea5850242435fe9a89ea5033a' (335)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/07/1cb1ed81834f144c270a1c9b51a0c3dc84c2f6' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/1cb1ed81834f144c270a1c9b51a0c3dc84c2f6' (80)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/07/33b2206755942f0c12c90fbdd0b468da5f6eba' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/33b2206755942f0c12c90fbdd0b468da5f6eba' (4,412)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/07/4b495d5a03c8ef25f081d7823d5d850a4a27d3' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/4b495d5a03c8ef25f081d7823d5d850a4a27d3' (341)
2018-08-29 09:59:11: Copy New 'D:/repository/.git/objects/07/4c3f1d59e2e1f2ffd946d40a94acbdd3cc2541' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/4c3f1d59e2e1f2ffd946d40a94acbdd3cc2541' (60)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/07/4f3f72385febe45f19bcee2cb6edc2dec3ed84' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/4f3f72385febe45f19bcee2cb6edc2dec3ed84' (335)
2018-08-29 09:59:11: Copy Over 'D:/repository/.git/objects/07/538c0e7ce2b21f4c07952fabff01c42713e2a3' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/538c0e7ce2b21f4c07952fabff01c42713e2a3' (336)
2018-08-29 09:59:12: Copy New 'D:/repository/.git/objects/07/58f731f94e598ebebd46c0afc275a136b8263d' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/58f731f94e598ebebd46c0afc275a136b8263d' (65,404)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/07/62e31eda294a26aa57555268939a78aaa210ff' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/62e31eda294a26aa57555268939a78aaa210ff' (336)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/07/694456da864a996caf57f90b25838bacc16f44' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/694456da864a996caf57f90b25838bacc16f44' (335)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/07/6cc55bd4a944d2b778587f1af569e19218bb8d' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/6cc55bd4a944d2b778587f1af569e19218bb8d' (555)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/07/7d71a74c575e95db97b6376cb3b8120eb84f3f' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/7d71a74c575e95db97b6376cb3b8120eb84f3f' (336)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/07/8bc7631f3b6881936310d3c69cf31b7215c98a' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/8bc7631f3b6881936310d3c69cf31b7215c98a' (371)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/07/9fd697983133877b9bd6415acff52091fc1e40' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/9fd697983133877b9bd6415acff52091fc1e40' (340)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/07/ddc4ba8b6a8be3a96784d3a320e91349d50fa3' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/07/ddc4ba8b6a8be3a96784d3a320e91349d50fa3' (307)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/08/3b15d73558f64d42f20497ad0ee45dd82c765b' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/08/3b15d73558f64d42f20497ad0ee45dd82c765b' (394)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/08/610b700661fedb44602053b4cd25ad4de918b6' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/08/610b700661fedb44602053b4cd25ad4de918b6' (341)
2018-08-29 09:59:12: Copy New 'D:/repository/.git/objects/08/783397abb2184c2e6b2bc80737ea50267f68eb' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/08/783397abb2184c2e6b2bc80737ea50267f68eb' (7,721)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/08/ba64693c8a7f34f517e2af14b72951284d6386' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/08/ba64693c8a7f34f517e2af14b72951284d6386' (341)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/08/bade86491460eea99b1188fd3d4042399866aa' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/08/bade86491460eea99b1188fd3d4042399866aa' (341)
2018-08-29 09:59:12: Copy Over 'D:/repository/.git/objects/08/e494cebb4af45ca01200d8aa9a1d845f5473ed' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/08/e494cebb4af45ca01200d8aa9a1d845f5473ed' (334)
